"","train","X","Y","Green8_5","Red8_5","Red.Edge8_5","NIR8_5","NDVI8_5","DSM8_5","StdVegHeight8_5","Green7_12","Red7_12","Red.Edge7_12","NIR7_12","NDVI7_12","DSM7_12","StdVegHeight7_12"
"40",1,306785.1781,4994418.7986,0.0683531,0.0519831,0.0985636,0.1242519,0.3962032,179.1173096,0.0037424,0.0643407,0.0409747,0.1098139,0.1647436,0.3962032,179.1173096,0.0161739
"41",1,306778.335,4994529.3682,0.0822266,0.0476127,0.2095835,0.2834545,0.7495905,179.1564178,0.0026247,0.1028293,0.0701845,0.2755997,0.3423701,0.7495905,179.1564178,0.0026034
"42",1,306694.7676,4994441.8145,0.0772831,0.0534458,0.1695722,0.1903919,0.5253986,178.0650024,0.0013713,0.0258552,0.0175157,0.0220599,0.0253968,0.5253986,178.0650024,0.0032703
"43",2,306751.9135,4994459.5322,0.0931682,0.0770029,0.2412005,0.3089599,0.574315,179.2179413,0.047646,0.1176717,0.09162,0.2822326,0.3494697,0.574315,179.2179413,0.0139851
"44",3,306671.9764,4994387.9521,0.0432823,0.032337,0.0771037,0.0820671,0.2603878,177.578476,0.0064405,0.0400176,0.0295643,0.0883371,0.0998358,0.2603878,177.578476,0.0094294
"45",2,306752.2275,4994450.3608,0.0813858,0.0642815,0.1128094,0.1283404,0.3958503,178.6129303,0.0058884,0.0492385,0.0393337,0.1036422,0.1288639,0.3958503,178.6129303,0.002093
"46",1,306841.7808,4994495.1165,0.0784663,0.0462001,0.2389407,0.3626831,0.7534634,179.609375,0.0259987,0.0518049,0.0289381,0.1567391,0.2645954,0.7534634,179.609375,0.0077945
"47",1,306971.4152,4994527.0879,0.0900096,0.0738658,0.1130013,0.1372504,0.865853,179.8201294,0.0455966,0.1006824,0.1008226,0.1858476,0.2422756,0.865853,179.8201294,0.0636715
"48",3,306974.8136,4994503.896,0.0602145,0.0436514,0.1243141,0.13365,0.5713379,178.7038879,0.0024491,0.0941736,0.0798552,0.2419943,0.2586006,0.5713379,178.7038879,0.0034884
"49",2,306896.1461,4994536.5023,0.1353024,0.1196448,0.3378408,0.4146844,0.5681706,178.9447784,0.0012398,0.0997384,0.0867873,0.2587552,0.3343537,0.5681706,178.9447784,0.00253
"50",4,306668.5366,4994473.1773,0.0573281,0.0432677,0.1345076,0.2202815,0.6373122,178.1575165,0.011465,0.0582031,0.0450086,0.1347777,0.2093344,0.6373122,178.1575165,0.0157678
"51",2,306860.1641,4994551.4809,0.0544504,0.0378423,0.1587617,0.2542582,0.7365025,179.6209106,0.0232212,0.0647567,0.0509627,0.1406269,0.2045801,0.7365025,179.6209106,0.0396605
"52",2,306889.9507,4994493.0343,0.0968178,0.0874167,0.2272381,0.260942,0.4937546,178.9977417,0.0021848,0.0797358,0.0666565,0.1616945,0.1810522,0.4937546,178.9977417,0.0068699
"53",1,306945.5913,4994530.7443,0.0819863,0.0403246,0.3245501,0.4376695,0.7675604,179.1317444,0.013144,0.1038977,0.0587564,0.3123148,0.42308,0.7675604,179.1317444,0.0360635
"54",2,306779.2466,4994453.3987,0.1009959,0.0828702,0.2437847,0.2904239,0.5634339,178.95047,0.0175995,0.1323252,0.1029515,0.3101389,0.3825509,0.5634339,178.95047,0.0039258
